protein ID,Rank,Score
d5fr8a_,1,1.130668998828956
d5fp1a_,2,1.126054321016584
d1fepa_,3,0.9679685703345707
d5foka1,4,0.7090503807578769
d5neca1,5,0.5228662937879562
d1r9da_,6,0.49675203434058596
d1h0ha2,7,0.45109867623874117
d2f3oa_,8,0.39709922458444324
d1ffvb2,9,0.3248676870550428
d6e4va_,10,0.3198342440383775
d1urja_,11,0.268840277833598
d1po0a_,12,0.1537813443158354
d4xria_,13,0.1476113029888698
d1kqfa2,14,0.138287218021495
d1by5a_,15,0.1034849938005209
d6vlka_,16,0.1026991203959499
d1twfb_,17,0.06710209032254559
d6hcpa_,18,0.054573571043355126
d3ea5b_,19,0.04604970344475338
d4c2ma_,20,0.018926679555858885
d1muka_,21,-0.003907494246959686
g1e3a.1,22,-0.025368015680994307
d1uf2a_,23,-0.05129430549485343
g1gk9.1,24,-0.05534710681864193
d4c2mb_,25,-0.11244179042322296
d5m9ba_,26,-0.12180499732494354
d6yxuc_,27,-0.15262160836053745
d7dz7a_,28,-0.15510089775281294
d1twfa_,29,-0.15812013404709951
d3i01m_,30,-0.19275847024151258
d1wa5c_,31,-0.23982388845511846
d4wsbb_,32,-0.2691207371119942
d3ibva_,33,-0.2698184443371637
d7dkza_,34,-0.2717152208622013
d1lkxa_,35,-0.31585291985954556
d1q16a2,36,-0.34234653200422016
d6vxca_,37,-0.3500667778509004
d6k61a_,38,-0.3716971908829042
d3efma_,39,-0.3858646457748754
d6zzxa_,40,-0.46466719252722605
d3nvvc2,41,-0.4696890711784363
d3vyca_,42,-0.4843556008168629
d1g8ja2,43,-0.49213279836944174
d6sl5a_,44,-0.4994454900068896
d1ohfc_,45,-0.5220147271507553
d6traa_,46,-0.5365412086248398
d6suka_,47,-0.5517259410449437
d4cvba_,48,-0.557357169687748
d5d9ab_,49,-0.5603446130241666
d2vfna_,50,-0.5695401472704751
d4i43b4,51,-0.5773554188864571
d4kt0b_,52,-0.5833850886140551
d6ly5a_,53,-0.5902353950909206
d1i6vd_,54,-0.5926902624113219
d4bqia_,55,-0.6014543771743774
d7dkzb_,56,-0.6189500944955009
d1jqoa_,57,-0.641606867313385
d6k61b_,58,-0.6432438365050724
g1jmu.1,59,-0.6495753164802279
d3dwba_,60,-0.6686316366706576
d6trab_,61,-0.6815184876322746
d6sl5b_,62,-0.7039700107915061
d1ry2a_,63,-0.7126050410526139
d4oh3a_,64,-0.7195644974708557
d5a0ua_,65,-0.7492051848343441
d4xbha_,66,-0.7686255361352649
d3gb8a_,67,-0.7722881308623722
d6ly5b_,68,-0.7840103656053543
d4g7hd_,69,-0.785142474940845
d1ynjd1,70,-0.808581427271877
d5vkqa1,71,-0.826532781124115
d2pgga1,72,-0.8549775736672538
d1l1la_,73,-0.8775330185890198
d3riqa_,74,-0.8788712014045034
d2btva_,75,-0.9000961908272335
d1ea0a2,76,-0.9063087786946978
d1mswd_,77,-0.9084777661732265
d1mqsa_,78,-0.9105275911944253
d1qgra_,79,-0.913232718195234
d7lx0b_,80,-0.9133560104029519
d1k3va_,81,-0.9270357638597488
d1p2za1,82,-0.9411831828100341
d5gxda_,83,-0.9493947965758187
d5vfba_,84,-0.9555242104189736
d3nwaa_,85,-0.9630634273801532
d1ru3a_,86,-0.9889165716511863
d1nnma_,87,-1.0004906484058924
d6i96a_,88,-1.0130789024489266
d6xs4a_,89,-1.0407756183828627
d3ugma_,90,-1.0429270373923438
d1u6gc_,91,-1.0538209591593062
d4kt0a_,92,-1.0572447606495448
d6lona_,93,-1.0629277995654516
d3tg7a1,94,-1.0718321246760232
d1ygpa_,95,-1.0859412380627222
d2gj4a_,96,-1.0992158225604467
d2mysa2,97,-1.1109294550759452
d1hlra8,98,-1.113686808518001
d6dama_,99,-1.1159966928618295
d2w3sb2,100,-1.1266858577728271
d1h16a_,101,-1.132679215499333
d1z1ca1,102,-1.1364725743021284
d3ml1a1,103,-1.1514739309038435
d6ui4a_,104,-1.1660184604781014
d1m1ca_,105,-1.1716823279857635
d6as6a_,106,-1.1750480788094657
d7dz7b_,107,-1.1758098602294922
d2gufa_,108,-1.2152587132794517
g1cp9.1,109,-1.2351933079106467
d6ca8a_,110,-1.254475678716387
d1ofda2,111,-1.2613674913133894
d6axea1,112,-1.2637142964771815
d3zeda_,113,-1.2655696868896484
d1t3qb2,114,-1.2758500831467765
d6fkwa_,115,-1.2815966265542167
d1n62b2,116,-1.282439580985478
d6oc5a_,117,-1.2864806737218584
d3ng9a_,118,-1.2921310578073775
d4ex4a_,119,-1.2968610695430212
d3jb9a3,120,-1.3223521709442139
d1xkwa_,121,-1.336406511919839
d1b3ua_,122,-1.3474864959716797
d1dgja4,123,-1.3569738098553248
d5ikoa_,124,-1.3593939968517847
d4g0ra_,125,-1.367761765207563
d7kfra_,126,-1.3703995602471488
d5fava1,127,-1.3926102348736353
d1kv9a2,128,-1.3938868727002824
d5ymra_,129,-1.3992431248937334
d2ipya1,130,-1.4088571923119682
d2b3ya2,131,-1.4122296571731567
d7cyla_,132,-1.4175269263131278
d6zzxb_,133,-1.4219337872096471
d1ti6a2,134,-1.4266730461801802
d1aa6a2,135,-1.4418819461550032
d1qvia2,136,-1.4810180153165544
d2yivx_,137,-1.4825269750186376
d5ganj_,138,-1.4830869776862008
d1kb0a2,139,-1.4844068884849548
d3iteb_,140,-1.4880747284208025
d3ehma_,141,-1.4903901645115443
d1ohfa_,142,-1.5044965062822615
d7c11a_,143,-1.5198929820741927
d3u4ja1,144,-1.5202677931104387
d1tmoa2,145,-1.5249814561435155
d2a3la1,146,-1.5516036919185094
d1rm6a2,147,-1.5626467977251326
d4be9a1,148,-1.5655309132167272
d3ddsa_,149,-1.566090703010559
d3rgwl_,150,-1.5925487450190954
